usage_id,user_id,ai_tool_name,usage_date,queries_made,avg_response_time,rating,subscription_type
1,156,Claude AI,06-02-2024,18,2.27,4,Enterprise
2,108,Claude AI,01-02-2024,18,1.51,1,Enterprise
3,273,ChatGPT,11-01-2024,10,3.44,2,Enterprise
4,255,Mistral AI,06-01-2024,25,2.47,4,Enterprise
5,163,DeepSeek AI,01-03-2024,9,3.13,1,Pro
6,376,Gemini AI,15-02-2024,36,1.87,5,Pro
7,260,ChatGPT,13-02-2024,36,2.6,5,Pro
8,249,ChatGPT,30-01-2024,22,2.77,5,Enterprise
9,278,Gemini AI,10-01-2024,17,2.4,4,Enterprise
10,276,Claude AI,10-02-2024,29,1.62,5,Free
11,418,ChatGPT,29-01-2024,19,2.57,1,Pro
12,516,Mistral AI,18-02-2024,49,2.03,3,Enterprise
13,457,DeepSeek AI,10-01-2024,49,3.25,3,Enterprise
14,475,Gemini AI,18-01-2024,44,2.15,2,Pro
15,589,Gemini AI,24-01-2024,5,3.45,1,Enterprise
16,305,Gemini AI,22-01-2024,6,3.44,4,Enterprise
17,305,Claude AI,31-01-2024,34,2.93,3,Enterprise
18,213,Claude AI,21-01-2024,22,2.8,2,Enterprise
19,403,Claude AI,29-02-2024,26,2.53,1,Enterprise
20,131,Claude AI,13-02-2024,17,1.85,2,Free
21,509,ChatGPT,23-01-2024,22,1.78,4,Pro
22,180,ChatGPT,09-01-2024,21,2.04,2,Enterprise
23,198,Claude AI,26-01-2024,28,3.18,4,Free
24,366,DeepSeek AI,26-02-2024,50,2.81,3,Pro
25,292,Claude AI,13-02-2024,36,2.2,2,Free
26,508,Gemini AI,25-01-2024,23,2.15,5,Free
27,309,ChatGPT,02-02-2024,43,3.36,5,Free
28,276,Gemini AI,04-01-2024,42,1.86,2,Enterprise
29,571,Mistral AI,19-02-2024,45,2.83,5,Free
30,246,Gemini AI,04-01-2024,13,2.62,4,Enterprise
31,271,DeepSeek AI,10-01-2024,35,3.36,5,Free
32,416,ChatGPT,06-01-2024,43,1.72,5,Pro
33,434,Gemini AI,04-02-2024,49,2.03,4,Pro
34,386,DeepSeek AI,10-02-2024,25,1.9,5,Enterprise
35,445,Mistral AI,10-01-2024,19,3.28,4,Enterprise
36,531,Mistral AI,07-02-2024,24,1.82,5,Pro
37,445,Mistral AI,16-02-2024,42,2.8,5,Enterprise
38,589,Mistral AI,17-02-2024,11,2.31,3,Enterprise
39,402,Claude AI,11-02-2024,36,1.96,4,Enterprise
40,221,Claude AI,29-01-2024,8,2.46,2,Enterprise
41,288,Claude AI,05-01-2024,37,2.11,2,Free
42,117,Mistral AI,06-01-2024,7,2.44,5,Enterprise
43,230,Claude AI,27-02-2024,9,3.42,5,Enterprise
44,438,Gemini AI,15-01-2024,47,2.33,3,Free
45,134,DeepSeek AI,17-02-2024,42,3.4,1,Pro
46,383,DeepSeek AI,11-02-2024,14,2.19,2,Pro
47,460,DeepSeek AI,28-02-2024,28,1.6,4,Free
48,208,Claude AI,16-01-2024,24,3.37,2,Enterprise
49,251,DeepSeek AI,15-01-2024,32,2.4,1,Pro
50,315,Mistral AI,20-02-2024,33,2.72,3,Free
51,427,Mistral AI,21-02-2024,38,3.5,4,Pro
52,584,ChatGPT,04-02-2024,39,3.08,5,Enterprise
53,502,Gemini AI,01-01-2024,45,3.32,2,Pro
54,572,Gemini AI,22-01-2024,41,2.08,3,Free
55,512,ChatGPT,31-01-2024,5,2.93,1,Free
56,261,Claude AI,18-02-2024,22,1.65,3,Enterprise
57,320,Mistral AI,04-01-2024,16,2.16,5,Pro
58,312,Gemini AI,27-01-2024,8,1.6,4,Pro
59,289,Mistral AI,11-02-2024,7,3.01,2,Enterprise
60,157,DeepSeek AI,25-02-2024,7,1.81,3,Enterprise
61,104,Gemini AI,14-01-2024,21,3.11,4,Pro
62,135,Claude AI,29-02-2024,36,2.45,2,Pro
63,473,Gemini AI,22-01-2024,10,2.24,5,Free
64,110,Claude AI,06-01-2024,43,1.6,2,Pro
65,503,Gemini AI,13-02-2024,19,3.43,3,Enterprise
66,228,DeepSeek AI,23-02-2024,15,2.24,2,Free
67,381,Mistral AI,18-02-2024,9,1.61,4,Pro
68,226,Mistral AI,10-01-2024,21,1.55,5,Free
69,388,ChatGPT,01-02-2024,19,3.38,3,Pro
70,356,Gemini AI,30-01-2024,43,2.28,4,Free
71,519,ChatGPT,20-01-2024,19,2.87,1,Enterprise
72,388,Claude AI,08-02-2024,9,2.53,1,Pro
73,182,Gemini AI,10-01-2024,23,2.68,4,Enterprise
74,166,Claude AI,10-02-2024,20,3.08,5,Pro
75,356,ChatGPT,11-01-2024,19,2.96,1,Pro
76,491,Mistral AI,11-02-2024,47,2.1,5,Enterprise
77,269,Claude AI,14-02-2024,50,2.33,5,Free
78,386,Mistral AI,19-01-2024,26,3.47,2,Free
79,283,Mistral AI,22-01-2024,37,3.15,1,Pro
80,263,DeepSeek AI,16-01-2024,11,1.65,2,Pro
81,313,Claude AI,11-02-2024,25,2.28,5,Enterprise
82,145,Claude AI,06-01-2024,10,2.09,5,Free
